PSYKINEMATIX SESSION DATA
E3C04 - CD_spd0.3
AFRDATA (group #1)
#4 (21/06/16, 14:32:14)
Independent Variables
 Variable	Value	
dotrad	0.02500000037252903	
disp	15	
mxlc	100	
mnlc	50	
Fitting
Coher Slope (% per unit)	Coher Threshold	Condition	Criterion (%)	Task	Variables	
34.43051180502719	100.1236948138161	SpeedSizeDurDots	75	MOCScoher (New Discrimination)	spdarc = 18, dotnum = 400, obsize = 8, dur = 300	
Events
Kind	Name	StartTime	EndTime	Prefly	Onset	Offset	Duration	stimulusRT	Input	Instance Index	Levels	Nb Samples	Response	Scoring	Type	Variable Name	
Method	New Conditions	7.100004971027374	151.4009239673615	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
Method	MOCScoher (New Discrimination	7.100171983242035	8.527076959609985	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	
Procedure	New Discrimination	7.100750982761383	8.525366961956024	NA	NA	NA	NA	NA	Button 4	NA	NA	NA	Miss	NA	NA	NA	
Composed Stimuli	New Timeline	7.374360978603363	7.87179696559906	0.07203799486160278	7.459222972393036	7.869252979755402	0.4100300073623657	-2	NA	NA	NA	NA	NA	NA	NA	NA	
Method	MOCScoher (New Discrimination	8.52727198600769	9.791074991226196	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	
Procedure	New Discrimination	8.52751499414444	9.789098978042603	NA	NA	NA	NA	NA	Button 1	NA	NA	NA	Hit	NA	NA	NA	
Composed Stimuli	New Timeline	8.779784977436066	9.240836977958679	0.05454397201538086	8.839284956455231	9.23923397064209	0.3999490141868591	-2	NA	NA	NA	NA	NA	NA	NA	NA	
Method	MOCScoher (New Discrimination	9.791421949863434	11.05511999130249	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	
Procedure	New Discrimination	9.791849970817566	11.05319195985794	NA	NA	NA	NA	NA	Button 4	NA	NA	NA	Hit	NA	NA	NA	
Composed Stimuli	New Timeline	10.04418694972992	10.51088398694992	0.05394601821899414	10.10918498039246	10.50928699970245	0.4001020193099976	-2	NA	NA	NA	NA	NA	NA	NA	NA	
Method	MOCScoher (New Discrimination	11.05546796321869	12.24740594625473	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	
Procedure	New Discrimination	11.05589598417282	12.24574095010757	NA	NA	NA	NA	NA	Button 1	NA	NA	NA	Hit	NA	NA	NA	
Composed Stimuli	New Timeline	11.30816596746445	11.77155596017838	0.05401700735092163	11.36928600072861	11.76932299137115	0.4000369906425476	-2	NA	NA	NA	NA	NA	NA	NA	NA	
Method	MOCScoher (New Discrimination	12.24759197235107	13.46295195817947	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	
Procedure	New Discrimination	12.24783200025558	13.46126598119736	NA	NA	NA	NA	NA	Button 4	NA	NA	NA	Hit	NA	NA	NA	
Composed Stimuli	New Timeline	12.50012898445129	12.96158397197723	0.05405300855636597	12.55932396650314	12.95934599637985	0.400022029876709	-2	NA	NA	NA	NA	NA	NA	NA	NA	
Method	MOCScoher (New Discrimination	13.46315395832062	14.6227560043335	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	
