PSYKINEMATIX SESSION DATA
E3F08 - full_spd0.3
AFRDATA (group #1)
#3 (21/06/16, 14:16:32)
Independent Variables
 Variable	Value	
mxlc	100	
mnlc	50	
life	150	
Events
Kind	Name	StartTime	EndTime	Prefly	Onset	Offset	Duration	stimulusRT	Input	Instance Index	Levels	Nb Samples	Response	Scoring	Type	Variable Name	
Method	New Conditions	5.909681975841522	155.4147509932518	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
Method	MOCScoher (New Discrimination	5.909839987754822	8.742385983467102	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	
Procedure	New Discrimination	5.910404980182648	8.739061951637268	NA	NA	NA	NA	NA	Button 4	NA	NA	NA	Hit	NA	NA	NA	
Composed Stimuli	New Timeline	6.183409988880157	6.680908977985382	0.07428395748138428	6.268911957740784	6.67895096540451	0.4100390076637268	-2	NA	NA	NA	NA	NA	NA	NA	NA	
Method	MOCScoher (New Discrimination	8.742741942405701	10.05384296178818	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	
Procedure	New Discrimination	8.743166983127594	10.05118399858475	NA	NA	NA	NA	NA	Button 4	NA	NA	NA	Hit	NA	NA	NA	
Composed Stimuli	New Timeline	8.995568990707397	9.470597982406616	0.06295895576477051	9.069001972675323	9.468986988067627	0.3999850153923035	-2	NA	NA	NA	NA	NA	NA	NA	NA	
Method	MOCScoher (New Discrimination	10.05419600009918	11.35766494274139	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	
Procedure	New Discrimination	10.05462294816971	11.35523498058319	NA	NA	NA	NA	NA	Button 4	NA	NA	NA	Miss	NA	NA	NA	
Composed Stimuli	New Timeline	10.30686795711517	10.77128195762634	0.05978101491928101	10.36900198459625	10.76901698112488	0.4000149965286255	-2	NA	NA	NA	NA	NA	NA	NA	NA	
Method	MOCScoher (New Discrimination	11.35786098241806	12.6375589966774	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	
Procedure	New Discrimination	11.35810697078705	12.63522899150848	NA	NA	NA	NA	NA	Button 1	NA	NA	NA	Hit	NA	NA	NA	
Composed Stimuli	New Timeline	11.61037999391556	12.08126997947693	0.05925595760345459	11.6790309548378	12.07905596494675	0.4000250101089478	-2	NA	NA	NA	NA	NA	NA	NA	NA	
Method	MOCScoher (New Discrimination	12.63774597644806	13.91011899709702	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	
Procedure	New Discrimination	12.63797396421432	13.90744096040726	NA	NA	NA	NA	NA	Button 1	NA	NA	NA	Hit	NA	NA	NA	
