PSYKINEMATIX SESSION DATA
E3F08 - full_spd0.3
AFRDATA (group #1)
#1 (07/06/16, 15:44:33)
Independent Variables
 Variable	Value	
mxlc	100	
mnlc	0	
life	150	
Fitting
Coher Slope (% per unit)	Coher Threshold	Condition	Criterion (%)	Task	Variables	
0.00358677572203306	2142.8534968533	SpeedSizeDurDots	75	MOCScoher (New Discrimination)	spdarc = 18, dotnum = 400, obsize = 8, dur = 300	
Events
Kind	Name	StartTime	EndTime	Prefly	Onset	Offset	Duration	stimulusRT	Input	Instance Index	Levels	Nb Samples	Response	Scoring	Type	Variable Name	
Method	New Conditions	6.078363955020905	169.0773729681969	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
Method	MOCScoher (New Discrimination	6.078522980213165	7.724484980106354	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	
Procedure	New Discrimination	6.07908695936203	7.721614003181458	NA	NA	NA	NA	NA	Button 1	NA	NA	NA	Hit	NA	NA	NA	
Composed Stimuli	New Timeline	6.352064967155457	6.839268982410431	0.07413297891616821	6.437644958496094	6.83763599395752	0.3999910354614258	-2	NA	NA	NA	NA	NA	NA	NA	NA	
Method	MOCScoher (New Discrimination	7.724837005138397	9.09165096282959	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	
Procedure	New Discrimination	7.725263953208923	9.088898956775665	NA	NA	NA	NA	NA	Button 1	NA	NA	NA	Miss	NA	NA	NA	
Composed Stimuli	New Timeline	7.977625966072083	8.449269950389862	0.06098800897598267	8.047646999359131	8.447697997093201	0.4000509977340698	-2	NA	NA	NA	NA	NA	NA	NA	NA	
Method	MOCScoher (New Discrimination	9.091996967792511	10.52456599473953	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	
Procedure	New Discrimination	9.092422962188721	10.52181297540665	NA	NA	NA	NA	NA	Button 4	NA	NA	NA	Hit	NA	NA	NA	
Composed Stimuli	New Timeline	9.344725966453552	9.809271991252899	0.0594940185546875	9.407693982124329	9.807677984237671	0.3999840021133423	-2	NA	NA	NA	NA	NA	NA	NA	NA	
Method	MOCScoher (New Discrimination	10.52491199970245	11.81926697492599	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	
Procedure	New Discrimination	10.52533799409866	11.81675499677658	NA	NA	NA	NA	NA	Button 4	NA	NA	NA	Hit	NA	NA	NA	
Composed Stimuli	New Timeline	10.77760100364685	11.24995195865631	0.05990594625473022	10.84768098592758	11.24770897626877	0.4000279903411865	-2	NA	NA	NA	NA	NA	NA	NA	NA	
Method	MOCScoher (New Discrimination	11.81948697566986	13.32380998134613	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	
Procedure	New Discrimination	11.81971698999405	13.32099395990372	NA	NA	NA	NA	NA	Button 4	NA	NA	NA	Hit	NA	NA	NA	
Composed Stimuli	New Timeline	12.072016954422	12.53935098648071	0.06014901399612427	12.1377249956131	12.53775495290756	0.4000299572944641	-2	NA	NA	NA	NA	NA	NA	NA	NA	
Method	MOCScoher (New Discrimination	13.32415699958801	14.67531996965408	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	
Procedure	New Discrimination	13.32458394765854	14.67279398441315	NA	NA	NA	NA	NA	Button 4	NA	NA	NA	Hit	NA	NA	NA	
Composed Stimuli	New Timeline	13.57690495252609	14.04992496967316	0.06221204996109009	13.64771097898483	14.04770594835281	0.399994969367981	-2	NA	NA	NA	NA	NA	NA	NA	NA	
Method	MOCScoher (New Discrimination	14.67550498247147	16.00387895107269	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	
Procedure	New Discrimination	14.67573297023773	16.00105798244476	NA	NA	NA	NA	NA	Button 1	NA	NA	NA	Miss	NA	NA	NA	
Composed Stimuli	New Timeline	14.92808699607849	15.39942198991776	0.06023097038269043	14.99770897626877	15.39779996871948	0.4000909924507141	-2	NA	NA	NA	NA	NA	NA	NA	NA	
Method	MOCScoher (New Discrimination	16.00422495603561	17.34830796718597	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	
Procedure	New Discrimination	16.00465095043182	17.34549897909164	NA	NA	NA	NA	NA	Button 4	NA	NA	NA	Miss	NA	NA	NA	
Composed Stimuli	New Timeline	16.25699698925018	16.72931396961212	0.06029200553894043	16.32778894901276	16.72772496938705	0.3999360203742981	-2	NA	NA	NA	NA	NA	NA	NA	NA	
Method	MOCScoher (New Discrimination	17.34865295886993	18.67625898122787	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	
Procedure	New Discrimination	17.34908097982407	18.67363995313644	NA	NA	NA	NA	NA	Button 4	NA	NA	NA	Miss	NA	NA	NA	
Composed Stimuli	New Timeline	17.60137796401978	18.06997096538544	0.06208103895187378	17.66778194904327	18.0677649974823	0.3999830484390259	-2	NA	NA	NA	NA	NA	NA	NA	NA	
Method	MOCScoher (New Discrimination	18.67644494771957	20.04403400421143	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	
Procedure	New Discrimination	18.67667096853256	20.04120296239853	NA	NA	NA	NA	NA	Button 1	NA	NA	NA	Miss	NA	NA	NA	
Composed Stimuli	New Timeline	18.92887496948242	19.39936298131943	0.06041198968887329	18.99781495332718	19.39781498908997	0.4000000357627869	-2	NA	NA	NA	NA	NA	NA	NA	NA	
Method	MOCScoher (New Discrimination	20.04437899589539	21.3641049861908	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	
Procedure	New Discrimination	20.04480397701263	21.36127197742462	NA	NA	NA	NA	NA	Button 1	NA	NA	NA	Miss	NA	NA	NA	
Composed Stimuli	New Timeline	20.29713398218155	20.76935297250748	0.05976498126983643	20.36784595251083	20.76778197288513	0.3999360203742981	-2	NA	NA	NA	NA	NA	NA	NA	NA	
Method	MOCScoher (New Discrimination	21.36444896459579	22.69133299589157	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	
Procedure	New Discrimination	21.36487400531769	22.68870997428894	NA	NA	NA	NA	NA	Button 1	NA	NA	NA	Hit	NA	NA	NA	
Composed Stimuli	New Timeline	21.61716097593307	22.09003496170044	0.0616840124130249	21.68783396482468	22.08781999349594	0.3999860286712646	-2	NA	NA	NA	NA	NA	NA	NA	NA	
Method	MOCScoher (New Discrimination	22.69151699542999	23.93983495235443	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	
Procedure	New Discrimination	22.69175499677658	23.9373379945755	NA	NA	NA	NA	NA	Button 4	NA	NA	NA	Miss	NA	NA	NA	
Composed Stimuli	New Timeline	22.94403296709061	23.40951198339462	0.06043601036071777	23.0078529715538	23.40790098905563	0.4000480175018311	-2	NA	NA	NA	NA	NA	NA	NA	NA	
Method	MOCScoher (New Discrimination	23.94001996517181	25.316565990448	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	
Procedure	New Discrimination	23.94024699926376	25.31369698047638	NA	NA	NA	NA	NA	Button 4	NA	NA	NA	Miss	NA	NA	NA	
Composed Stimuli	New Timeline	24.19256895780563	24.65939795970917	0.0606810450553894	24.25790899991989	24.65786600112915	0.399957001209259	-2	NA	NA	NA	NA	NA	NA	NA	NA	
Method	MOCScoher (New Discrimination	25.31691098213196	26.52373898029327	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	
Procedure	New Discrimination	25.31734198331833	26.52118998765945	NA	NA	NA	NA	NA	Button 1	NA	NA	NA	Miss	NA	NA	NA	
Composed Stimuli	New Timeline	25.56972998380661	26.0401319861412	0.06010496616363525	25.63789695501328	26.03791397809982	0.4000170230865479	-2	NA	NA	NA	NA	NA	NA	NA	NA	
Method	MOCScoher (New Discrimination	26.52393394708633	27.8123659491539	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	
Procedure	New Discrimination	26.52416396141052	27.80974996089935	NA	NA	NA	NA	NA	Button 4	NA	NA	NA	Miss	NA	NA	NA	
Composed Stimuli	New Timeline	26.77634596824646	27.25018095970154	0.06060999631881714	26.84790098667145	27.24795198440552	0.4000509977340698	-2	NA	NA	NA	NA	NA	NA	NA	NA	
Method	MOCScoher (New Discrimination	27.81255400180817	29.62080299854279	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	
Procedure	New Discrimination	27.81278097629547	29.61773699522018	NA	NA	NA	NA	NA	Button 4	NA	NA	NA	Miss	NA	NA	NA	
Composed Stimuli	New Timeline	28.06500095129013	28.52957099676132	0.06066399812698364	28.1278749704361	28.52798396348953	0.4001089930534363	-2	NA	NA	NA	NA	NA	NA	NA	NA	
Method	MOCScoher (New Discrimination	29.62114697694778	30.95547199249268	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	
Procedure	New Discrimination	29.62157195806503	30.95280396938324	NA	NA	NA	NA	NA	Button 4	NA	NA	NA	Hit	NA	NA	NA	
Composed Stimuli	New Timeline	29.87396496534348	30.34022200107574	0.06082803010940552	29.93794697523117	30.33799797296524	0.4000509977340698	-2	NA	NA	NA	NA	NA	NA	NA	NA	
Method	MOCScoher (New Discrimination	30.95565795898438	32.36449098587036	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	
Procedure	New Discrimination	30.95588499307632	32.36150395870209	NA	NA	NA	NA	NA	Button 4	NA	NA	NA	Hit	NA	NA	NA	
Composed Stimuli	New Timeline	31.2080659866333	31.67957097291946	0.06069201231002808	31.27799695730209	31.67796397209167	0.3999670147895813	-2	NA	NA	NA	NA	NA	NA	NA	NA	
Method	MOCScoher (New Discrimination	32.36484295129776	34.09229695796967	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	
Procedure	New Discrimination	32.36527496576309	34.0892019867897	NA	NA	NA	NA	NA	Button 1	NA	NA	NA	Miss	NA	NA	NA	
Composed Stimuli	New Timeline	32.61752498149872	33.09023195505142	0.06017899513244629	32.68796497583389	33.08801597356796	0.4000509977340698	-2	NA	NA	NA	NA	NA	NA	NA	NA	
Method	MOCScoher (New Discrimination	34.09264099597931	35.42013800144196	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	
Procedure	New Discrimination	34.09306800365448	35.4171199798584	NA	NA	NA	NA	NA	Button 1	NA	NA	NA	Hit	NA	NA	NA	
Composed Stimuli	New Timeline	34.34542900323868	34.80963295698166	0.0603489875793457	34.40805196762085	34.80801397562027	0.3999620079994202	-2	NA	NA	NA	NA	NA	NA	NA	NA	
Method	MOCScoher (New Discrimination	35.42048299312592	36.97213596105576	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	
Procedure	New Discrimination	35.42090797424316	36.96907895803452	NA	NA	NA	NA	NA	Button 4	NA	NA	NA	Miss	NA	NA	NA	
Composed Stimuli	New Timeline	35.67321395874023	36.14028996229172	0.05993300676345825	35.73802798986435	36.13805198669434	0.4000239968299866	-2	NA	NA	NA	NA	NA	NA	NA	NA	
Method	MOCScoher (New Discrimination	36.97248196601868	38.42843896150589	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	
Procedure	New Discrimination	36.97290498018265	38.42545598745346	NA	NA	NA	NA	NA	Button 4	NA	NA	NA	Hit	NA	NA	NA	
Composed Stimuli	New Timeline	37.22521495819092	37.68959498405457	0.06010699272155762	37.2880739569664	37.68805396556854	0.3999800086021423	-2	NA	NA	NA	NA	NA	NA	NA	NA	
Method	MOCScoher (New Discrimination	38.42878395318985	39.94034296274185	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	
Procedure	New Discrimination	38.42920994758606	39.93760997056961	NA	NA	NA	NA	NA	Button 1	NA	NA	NA	Hit	NA	NA	NA	
Composed Stimuli	New Timeline	38.68150097131729	39.15029495954514	0.06218302249908447	38.74806797504425	39.14809995889664	0.4000319838523865	-2	NA	NA	NA	NA	NA	NA	NA	NA	
Method	MOCScoher (New Discrimination	39.9405289888382	41.17171096801758	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	
Procedure	New Discrimination	39.9407559633255	41.16878199577332	NA	NA	NA	NA	NA	Button 4	NA	NA	NA	Hit	NA	NA	NA	
Composed Stimuli	New Timeline	40.19301795959473	40.65968894958496	0.0612260103225708	40.25811797380447	40.65809595584869	0.39997798204422	-2	NA	NA	NA	NA	NA	NA	NA	NA	
Method	MOCScoher (New Discrimination	41.1720569729805	42.38827097415924	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	
