PSYKINEMATIX SESSION DATA
E3I25 - IOVD_spd2
AFRDATA (group #1)
#3 (13/06/16, 11:52:20)
Independent Variables
 Variable	Value	
mxli	75	
mnli	25	
life	150	
Fitting
Coher Slope (% per unit)	Coher Threshold	Condition	Criterion (%)	Task	Variables	
0.5226433171937908	47.72245266791511	SpeedSizeDurDots	75	MOCScoher (New Discrimination)	spd = 2, dotnum = 400, obsize = 8, dur = 300	
Events
Kind	Name	StartTime	EndTime	Prefly	Onset	Offset	Duration	stimulusRT	Input	Instance Index	Levels	Nb Samples	Response	Scoring	Type	Variable Name	
Method	New Conditions	5.797760009765625	156.6807150244713	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
Method	MOCScoher (New Discrimination	5.797922015190125	7.223273992538452	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	
Procedure	New Discrimination	5.798489034175873	7.220117032527924	NA	NA	NA	NA	NA	Button 1	NA	NA	NA	Hit	NA	NA	NA	
Composed Stimuli	New Timeline	6.072319984436035	6.580494999885559	0.08362799882888794	6.167095005512238	6.577077031135559	0.4099820256233215	-2	NA	NA	NA	NA	NA	NA	NA	NA	
Method	MOCScoher (New Discrimination	7.223632991313934	8.414637982845306	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	
Procedure	New Discrimination	7.224062979221344	8.411709010601044	NA	NA	NA	NA	NA	Button 4	NA	NA	NA	Hit	NA	NA	NA	
Composed Stimuli	New Timeline	7.476571023464203	7.960085988044739	0.07160300016403198	7.557093024253845	7.957112014293671	0.4000189900398254	-2	NA	NA	NA	NA	NA	NA	NA	NA	
Method	MOCScoher (New Discrimination	8.414985001087189	9.751088976860046	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	
Procedure	New Discrimination	8.415413975715637	9.748081982135773	NA	NA	NA	NA	NA	Button 4	NA	NA	NA	Miss	NA	NA	NA	
Composed Stimuli	New Timeline	8.667829990386963	9.1387619972229	0.06340903043746948	8.73710298538208	9.137157022953033	0.4000540375709534	-2	NA	NA	NA	NA	NA	NA	NA	NA	
Method	MOCScoher (New Discrimination	9.751434028148651	11.02263700962067	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	
Procedure	New Discrimination	9.751861989498138	11.01991701126099	NA	NA	NA	NA	NA	Button 1	NA	NA	NA	Hit	NA	NA	NA	
Composed Stimuli	New Timeline	10.00437498092651	10.47937601804733	0.0628960132598877	10.07715398073196	10.47711902856827	0.3999650478363037	-2	NA	NA	NA	NA	NA	NA	NA	NA	
Method	MOCScoher (New Discrimination	11.02282398939133	12.31038397550583	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	
Procedure	New Discrimination	11.02305197715759	12.30736601352692	NA	NA	NA	NA	NA	Button 1	NA	NA	NA	Hit	NA	NA	NA	
Composed Stimuli	New Timeline	11.27550202608109	11.74873900413513	0.06614094972610474	11.34721302986145	11.74713599681854	0.3999229669570923	-2	NA	NA	NA	NA	NA	NA	NA	NA	
Method	MOCScoher (New Discrimination	12.31073302030563	13.72733402252197	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	
Procedure	New Discrimination	12.31116098165512	13.72421300411224	NA	NA	NA	NA	NA	Button 4	NA	NA	NA	Miss	NA	NA	NA	
Composed Stimuli	New Timeline	12.56366699934006	13.03878998756409	0.063385009765625	12.63716799020767	13.03720903396606	0.4000410437583923	-2	NA	NA	NA	NA	NA	NA	NA	NA	
Method	MOCScoher (New Discrimination	13.72768002748489	14.91870200634003	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	
Procedure	New Discrimination	13.72810798883438	14.91594398021698	NA	NA	NA	NA	NA	Button 4	NA	NA	NA	Hit	NA	NA	NA	
Composed Stimuli	New Timeline	13.98061102628708	14.44947701692581	0.06318998336791992	14.04714798927307	14.44721901416779	0.4000710248947144	-2	NA	NA	NA	NA	NA	NA	NA	NA	
Method	MOCScoher (New Discrimination	14.91888701915741	16.08634901046753	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	
Procedure	New Discrimination	14.91911500692368	16.08371198177338	NA	NA	NA	NA	NA	Button 1	NA	NA	NA	Miss	NA	NA	NA	
Composed Stimuli	New Timeline	15.1716560125351	15.64943099021912	0.06544196605682373	15.24722701311111	15.64719098806381	0.3999639749526978	-2	NA	NA	NA	NA	NA	NA	NA	NA	
Method	MOCScoher (New Discrimination	16.08653497695923	17.27820801734924	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	
Procedure	New Discrimination	16.08677703142166	17.275445997715	NA	NA	NA	NA	NA	Button 4	NA	NA	NA	Hit	NA	NA	NA	
Composed Stimuli	New Timeline	16.33917301893234	16.80886298418045	0.06370598077774048	16.4072830080986	16.80726701021194	0.3999840021133423	-2	NA	NA	NA	NA	NA	NA	NA	NA	
Method	MOCScoher (New Discrimination	17.27839398384094	18.51926702260971	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	
Procedure	New Discrimination	17.27862298488617	18.51618099212646	NA	NA	NA	NA	NA	Button 1	NA	NA	NA	Hit	NA	NA	NA	
Composed Stimuli	New Timeline	17.53097802400589	17.99891102313995	0.06388598680496216	17.59722000360489	17.99729198217392	0.4000719785690308	-2	NA	NA	NA	NA	NA	NA	NA	NA	
Method	MOCScoher (New Discrimination	18.51961499452591	19.75848299264908	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	
Procedure	New Discrimination	18.520044028759	19.75533401966095	NA	NA	NA	NA	NA	Button 1	NA	NA	NA	Hit	NA	NA	NA	
Composed Stimuli	New Timeline	18.77257603406906	19.2389110326767	0.06301796436309814	18.83730500936508	19.23732900619507	0.4000239968299866	-2	NA	NA	NA	NA	NA	NA	NA	NA	
Method	MOCScoher (New Discrimination	19.75884300470352	21.06239300966263	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	
Procedure	New Discrimination	19.75927197933197	21.05950999259949	NA	NA	NA	NA	NA	Button 1	NA	NA	NA	Hit	NA	NA	NA	
Composed Stimuli	New Timeline	20.01179403066635	20.47954398393631	0.06344395875930786	20.07724797725677	20.47729402780533	0.4000460505485535	-2	NA	NA	NA	NA	NA	NA	NA	NA	
Method	MOCScoher (New Discrimination	21.06257802248001	22.31070601940155	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	
Procedure	New Discrimination	21.06280499696732	22.30758500099182	NA	NA	NA	NA	NA	Button 1	NA	NA	NA	Hit	NA	NA	NA	
Composed Stimuli	New Timeline	21.31521701812744	21.78894400596619	0.06384700536727905	21.38736498355865	21.7873370051384	0.3999720215797424	-2	NA	NA	NA	NA	NA	NA	NA	NA	
Method	MOCScoher (New Discrimination	22.31105601787567	23.64742600917816	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	
Procedure	New Discrimination	22.31148397922516	23.64411902427673	NA	NA	NA	NA	NA	Button 1	NA	NA	NA	Hit	NA	NA	NA	
Composed Stimuli	New Timeline	22.56401401758194	23.03896301984787	0.06545001268386841	22.63733500242233	23.0373740196228	0.40003901720047	-2	NA	NA	NA	NA	NA	NA	NA	NA	
Method	MOCScoher (New Discrimination	23.64777600765228	25.38320600986481	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	
Procedure	New Discrimination	23.64820498228073	25.37985098361969	NA	NA	NA	NA	NA	Button 4	NA	NA	NA	Miss	NA	NA	NA	
